originals	tokenized	transliterated
èhoewè	è h oe w è	ɛ h u w ɛ
kinioenŏ	k i n i oe n ŏ	k i n i u n ɔ
kamakoe	k a m a k oe	k a m a k u
èamaijŏ	è a m a i j ŏ	ɛ a m a i j ɔ
ebae	e b a e	e b a e
kikoha(k)	k i k o h a (k)	k i k ɔ h a ʔ
pokèo	p o k è o	p ɔ k ɛ ɔ
kārādi	k ā r ā d i	k aː r aː d i
oedŏfŏ	oe d ŏ f ŏ	u d ɔ f ɔ
kidjie-kidjie	k i dj ie - k i dj ie	k i d͡ʒ i - k i d͡ʒ i
karahadirĕ èpo(k)	k a r a h a d i r ĕ + è p o (k)	k a r a h a d i r ə + ɛ p ɔ ʔ
èhoewè èpo(k)	è h oe w è + è p o (k)	ɛ h u w ɛ + ɛ p ɔ ʔ
èŏrŏjĕ aero èpo(k)	è ŏ r ŏ j ĕ + a e r o + è p o (k)	ɛ ɔ r ɔ j ə + a e r ɔ + ɛ p ɔ ʔ
èapo(k)	è a p o (k)	ɛ a p ɔ ʔ
èfiak èpo(k)	è f i a k + è p o (k)	ɛ f i a k + ɛ p ɔ ʔ
minoe minoe	m i n oe + m i n oe	m i n u + m i n u
mènŏ	m è n ŏ	m ɛ n ɔ
mènŏ	m è n ŏ	m ɛ n ɔ
goela	g oe l a	g u l a
dadă oeloe	d a d ă + oe l oe	d a d ᾰ + u l u
inima	i n i m a	i n i m a
èŏkiŏ	è ŏ k i ŏ	ɛ ɔ k i ɔ
èhŏboe	è h ŏ b oe	ɛ h ɔ b u
èhŏboe	è h ŏ b oe	ɛ h ɔ b u
èietŏ	è ie t ŏ	ɛ i t ɔ
èkèĕ	è k è ĕ	ɛ k ɛ ə
èkèĕ	è k è ĕ	ɛ k ɛ ə
èŏdoe	è ŏ d oe	ɛ ɔ d u
kanŏwa(k)	k a n ŏ w a (k)	k a n ɔ w a ʔ
kinŏnŏ	k i n ŏ n ŏ	k i n ɔ n ɔ
èfainŏ	è f a i n ŏ	ɛ f a i n ɔ
èhiehie	è h ie h ie	ɛ h i ç i
abèha	a b è h a	a b ɛ h a
kahamoemoe	k a h a m oe m oe	k a h a m u m u
kāràdi ĕ	k ā r à d i + ĕ	k aː r a d i + ə
èpoehĕ	è p oe h ĕ	ɛ p u h ə
èpoehĕ	è p oe h ĕ	ɛ p u h ə
èpoehĕ	è p oe h ĕ	ɛ p u h ə
èko(k)	è k o (k)	ɛ k ɔ ʔ
èafodiĕ	è a f o d i ĕ	ɛ a f ɔ d i ə
èkoena	è k oe n a	ɛ k u n a
eàfŏ kabŏrie	e à f ŏ + k a b ŏ r ie	e a f ɔ + k a b ɔ r i
eàfŏdi ĕ	e à f ŏ d i + ĕ	e a f ɔ d i + ə
èba	è b a	ɛ b a
èfoenoe	è f oe n oe	ɛ f u n u
kihoedŏ	k i h oe d ŏ	k i ç u d ɔ
èoelie	è oe l ie	ɛ u l i
èbo kārăha(k) diĕ	è b o + k ā r ă h a (k) + d i ĕ	ɛ b ɔ + k aː r ᾰ h a ʔ + d i ə
èbèdiĕ	è b è d i ĕ	ɛ b ɛ d i ə
èfīdjoe	è f ī dj oe	ɛ f iː d͡ʒ u
èoefĕ	è oe f ĕ	ɛ u f ə
mŏnŏ èoepĕ	m ŏ n ŏ + è oe p ĕ	m ɔ n ɔ + ɛ u p ə
foeroekoewĕ	f oe r oe k oe w ĕ	f u r u k u w ə
kŏfiefie	k ŏ f ie f ie	k ɔ f i f i
kakĕlèha	k a k ĕ l è h a	k a k ə l ɛ h a
èpfoejĕ	è p f oe j ĕ	ɛ p f u j ə
kafèfo	k a f è f o	k a f ɛ f ɔ
èhoewa	è h oe w a	ɛ h u w a
èoelie hoewĕdiĕ	è oe l ie + h oe w ĕ d i ĕ	ɛ u l i + h u w ə d i ə
èhoewè	è h oe w è	ɛ h u w ɛ
èhèla	è h è l a	ɛ h ɛ l a
èoek	è oe k	ɛ u k
minjak	m i nj a k	m i ɲ a k
ŏwahŏdā	ŏ w a h ŏ d ā	ɔ w a h ɔ d aː
èiefoe akŏmā	è ie f oe + a k ŏ m ā	ɛ i f u + a k ɔ m aː
ijahŏmā	i j a h ŏ m ā	i j a h ɔ m aː
ŏwahŏdā	ŏ w a h ŏ d ā	ɔ w a h ɔ d aː
èiefoe akŏmā	è ie f oe + a k ŏ m ā	ɛ i f u + a k ɔ m aː
ijahŏmā	i j a h ŏ m ā	i j a h ɔ m aː
kahakoewak	k a h a k oe w a k	k a h a k u w a k
kahioe	k a h i oe	k a h i u
kahŏmè	k a h ŏ m è	k a h ɔ m ɛ
kifŏ kifŏ	k i f ŏ + k i f ŏ	k i f ɔ + k i f ɔ
bèo	b è o	b ɛ ɔ
mèo	m è o	m ɛ ɔ
èara bèo	è a r a + b è o	ɛ a r a + b ɛ ɔ
èaidiă	è a i d i ă	ɛ a i d i ᾰ
hŏkai	h ŏ k a i	h ɔ k a i
ija(k)è	i j a (k) è	i j a ʔ ɛ
kauāpŏ	k a u ā p ŏ	k a u aː p ɔ
kanoeoenoe	k a n oe oe n oe	k a n u u n u
kauāpŏ	k a u ā p ŏ	k a u aː p ɔ
kanoeoenoe	k a n oe oe n oe	k a n u u n u
èfa èfa	è f a + è f a	ɛ f a + ɛ f a
poeroeroei	p oe r oe r oe i	p u r u r u i
èoefĕdieĕ	è oe f ĕ d ie ĕ	ɛ u f ə d i ə
èfōdiĕ	è f ō d i ĕ	ɛ f oː d i ə
èara	è a r a	ɛ a r a
èŏbŏ	è ŏ b ŏ	ɛ ɔ b ɔ
èkŏjŏ(k)	è k ŏ j ŏ (k)	ɛ k ɔ j ɔ ʔ
ărŏmaka	ă r ŏ m a k a	ᾰ r ɔ m a k a
kikèŏfa	k i k è ŏ f a	k i k ɛ ɔ f a
kambing	k a m b i ng	k a m b i ŋ
bèo	b è o	b ɛ ɔ
pakoeĕ(k) bèo	p a k oe ĕ (k) + b è o	p a k u ə ʔ + b ɛ ɔ
bèo	b è o	b ɛ ɔ
ejau	e j a u	e j a u
kèèfè	k èè f è	k ɛː f ɛ
èkŏkŏ	è k ŏ k ŏ	ɛ k ɔ k ɔ
kèèfè	k èè f è	k ɛː f ɛ
èoekaikŏ	è oe k a i k ŏ	ɛ u k a i k ɔ
èāhā	è ā h ā	ɛ aː h aː
akōma(k)	a k ō m a (k)	a k oː m a ʔ
poeroehoei	p oe r oe h oe i	p u r u h u i
kèèfa	k èè f a	k ɛː f a
kadĕbĕ(k)	k a d ĕ b ĕ (k)	k a d ə b ə ʔ
èhoenie	è h oe n ie	ɛ h u n i
hoànie	h o à n ie	h ɔ a n i
èhoewā	è h oe w ā	ɛ h u w aː
èpèhĕja	è p è h ĕ j a	ɛ p ɛ h ə j a
kĕwānoe	k ĕ w ā n oe	k ə w aː n u
èhoewā	è h oe w ā	ɛ h u w aː
èpèhĕja	è p è h ĕ j a	ɛ p ɛ h ə j a
kĕwānoe	k ĕ w ā n oe	k ə w aː n u
djalŏ	dj a l ŏ	d͡ʒ a l ɔ
djalŏ	dj a l ŏ	d͡ʒ a l ɔ
djalŏ	dj a l ŏ	d͡ʒ a l ɔ
èhèo	è h è o	ɛ h ɛ ɔ
èkama	è k a m a	ɛ k a m a
èhikoe	è h i k oe	ɛ h i k u
eàboedŏdŏ	e à b oe d ŏ d ŏ	e a b u d ɔ d ɔ
èmiekieĕ	è m ie k ie ĕ	ɛ m i k i ə
èhikoe bèo	è h i k oe + b è o	ɛ h i k u + b ɛ ɔ
poekĕha	p oe k ĕ h a	p u k ə h a
eòemŏ	e ò e m ŏ	e ɔ e m ɔ
kiija	k ii j a	k iː j a
kiija	k ii j a	k iː j a
kiija	k ii j a	k iː j a
èfŏŏfa	è f ŏŏ f a	ɛ f ɔː f a
kŏfènè	k ŏ f è n è	k ɔ f ɛ n ɛ
èkiafŏ	è k i a f ŏ	ɛ k i a f ɔ
èkihŏ	è k i h ŏ	ɛ k i ç ɔ
èkihŏ	è k i h ŏ	ɛ k i ç ɔ
èkihŏ	è k i h ŏ	ɛ k i ç ɔ
èkihŏ	è k i h ŏ	ɛ k i ç ɔ
èanōà	è a n ō à	ɛ a n oː a
èanōà	è a n ō à	ɛ a n oː a
èanōà	è a n ō à	ɛ a n oː a
èhŏdŏ(k)	è h ŏ d ŏ (k)	ɛ h ɔ d ɔ ʔ
paèkā	p a è k ā	p a ɛ k aː
kahaŏdji	k a h a ŏ dj i	k a h a ɔ d͡ʒ i
èkīkè(k)è	è k ī k è (k) è	ɛ k iː k ɛ ʔ ɛ
èkīkè(k)è	è k ī k è (k) è	ɛ k iː k ɛ ʔ ɛ
èkīkè(k)è	è k ī k è (k) è	ɛ k iː k ɛ ʔ ɛ
èfèŏ(k)	è f è ŏ (k)	ɛ f ɛ ɔ ʔ
lahŏfo	l a h ŏ f o	l a h ɔ f ɔ
kahoewe(k)	k a h oe w e (k)	k a h u w e ʔ
lahiejŏ	l a h ie j ŏ	l a h i j ɔ
nafoeĕ	n a f oe ĕ	n a f u ə
èoefoe	è oe f oe	ɛ u f u
kahŏka	k a h ŏ k a	k a h ɔ k a
èoenoe oenoe	è oe n oe + oe n oe	ɛ u n u + u n u
kabieĕ	k a b ie ĕ	k a b i ə
èalahoe	è a l a h oe	ɛ a l a h u
èbaka kahaŏ(k)	è b a k a + k a h a ŏ (k)	ɛ b a k a + k a h a ɔ ʔ
ekanooe	e k a n o oe	e k a n ɔ u
kaho kanoehā(k)	k a h o + k a n oe h ā (k)	k a h ɔ + k a n u h aː ʔ
apoj lŏfŏ	a p o j + l ŏ f ŏ	a p ɔ j + l ɔ f ɔ
eafi-doewa	e a f i - d oe w a	e a f i - d u w a
kamīmī	k a m ī m ī	k a m iː m iː
èlŏpŏ	è l ŏ p ŏ	ɛ l ɔ p ɔ
kalinaha(k)	k a l i n a h a (k)	k a l i n a h a ʔ
èbo	è b o	ɛ b ɔ
poeāri poeāri	p oe ā r i + p oe ā r i	p u aː r i + p u aː r i
kaèlahoe	k a è l a h oe	k a ɛ l a h u
èalahoe	è a l a h oe	ɛ a l a h u
èdoedie	è d oe d ie	ɛ d u d i
èalahoe	è a l a h oe	ɛ a l a h u
pakoeda	p a k oe d a	p a k u d a
èĕkapakoeda	è ĕ k a p a k oe d a	ɛ ə k a p a k u d a
èdih	è d i h	ɛ d i ç
èkijoe	è k i j oe	ɛ k i j u
lakŏha(k)	l a k ŏ h a (k)	l a k ɔ h a ʔ
èkijoe	è k i j oe	ɛ k i j u
lakŏha(k)	l a k ŏ h a (k)	l a k ɔ h a ʔ
èbŏ	è b ŏ	ɛ b ɔ
èoewè	è oe w è	ɛ u w ɛ
kababaha(k)	k a b a b a h a (k)	k a b a b a h a ʔ
aba-ŏkie oewĕ	a b a - ŏ k ie + oe w ĕ	a b a - ɔ k i + u w ə
akŏhŏdă oewè	a k ŏ h ŏ d ă + oe w è	a k ɔ h ɔ d ᾰ + u w ɛ
nanaoewè	n a n a oe w è	n a n a u w ɛ
kahanakiĕ	k a h a n a k i ĕ	k a h a n a k i ə
èhèkoewĕ	è h è k oe w ĕ	ɛ h ɛ k u w ə
ejokie	e j o k ie	e j ɔ k i
ehadieĕ	e h a d ie ĕ	e h a d i ə
èfè	è f è	ɛ f ɛ
ihiā	i h i ā	i ç i aː
panāoewè kèfoe	p a n ā oe w è + k è f oe	p a n aː u w ɛ + k ɛ f u
èbaka oewè	è b a k a + oe w è	ɛ b a k a + u w ɛ
èjahèla	è j a h è l a	ɛ j a h ɛ l a
kōāka oewè	k ō ā k a + oe w è	k oː aː k a + u w ɛ
pakaŏ	p a k a ŏ	p a k a ɔ
èēja	è ē j a	ɛ eː j a
ijokie	i j o k ie	i j ɔ k i
èlŏpŏ	è l ŏ p ŏ	ɛ l ɔ p ɔ
kèfoe	k è f oe	k ɛ f u
koeroe	k oe r oe	k u r u
koeroe	k oe r oe	k u r u
karahāhŏ	k a r a h ā h ŏ	k a r a h aː h ɔ
èkŏhŏ	è k ŏ h ŏ	ɛ k ɔ h ɔ
èkŏhoi	è k ŏ h o i	ɛ k ɔ h ɔ i
èkŏhoi	è k ŏ h o i	ɛ k ɔ h ɔ i
kiedarāk	k ie d a r ā k	k i d a r aː k
ènafa	è n a f a	ɛ n a f a
èŏŏbŏ	è ŏŏ b ŏ	ɛ ɔː b ɔ
èŏkoewĕ	è ŏ k oe w ĕ	ɛ ɔ k u w ə
èŏkoewĕ	è ŏ k oe w ĕ	ɛ ɔ k u w ə
èoboewĕ	è o b oe w ĕ	ɛ ɔ b u w ə
èèkŏwĕ	èè k ŏ w ĕ	ɛː k ɔ w ə
panaŏ	p a n a ŏ	p a n a ɔ
aka fidja	a k a + f i dj a	a k a + f i d͡ʒ a
aka fidja	a k a + f i dj a	a k a + f i d͡ʒ a
aka fidja	a k a + f i dj a	a k a + f i d͡ʒ a
aka fidja	a k a + f i dj a	a k a + f i d͡ʒ a
èbakĕbo	è b a k ĕ b o	ɛ b a k ə b ɔ
èdŏdie	è d ŏ d ie	ɛ d ɔ d i
èèja(k)	èè j a (k)	ɛː j a ʔ
èloffo	è l o ff o	ɛ l ɔ fː ɔ
èoehoe	è oe h oe	ɛ u h u
haoehaoe	h a oe h a oe	h a u h a u
èau	è a u	ɛ a u
pakamaè	p a k a m a è	p a k a m a ɛ
kalèlèak	k a l è l è a k	k a l ɛ l ɛ a k
bidji-bidji kahieabie	b i dj i - b i dj i + k a h ie a b ie	b i d͡ʒ i - b i d͡ʒ i + k a h i a b i
kalèlèha	k a l è l è h a	k a l ɛ l ɛ h a
kalèlèha	k a l è l è h a	k a l ɛ l ɛ h a
doehoekiee	d oe h oe k ie e	d u h u k i e
ebaka oemo	e b a k a + oe m o	e b a k a + u m ɔ
kiaki-fèoeĕ	k i a k i - f è oe ĕ	k i a k i - f ɛ u ə
părīk kaoewĕ	p ă r ī k + k a oe w ĕ	p ᾰ r iː k + k a u w ə
ānāoe	ā n ā oe	aː n aː u
koedŏdok	k oe d ŏ d o k	k u d ɔ d ɔ k
èhaka bapieĕ	è h a k a + b a p ie ĕ	ɛ h a k a + b a p i ə
èkaka kabājĕoi	è k a k a + k a b ā j ĕ o i	ɛ k a k a + k a b aː j ə ɔ i
ijabakoewā	i j a b a k oe w ā	i j a b a k u w aː
kahĕdiak baēdiăk	k a h ĕ d i a k + b a ē d i ă k	k a h ə d i a k + b a eː d i ᾰ k
dŏboekabandiăk	d ŏ b oe k a b a n d i ă k	d ɔ b u k a b a n d i ᾰ k
afikă èodiè ĕ	a f i k ă + è o d i è + ĕ	a f i k ᾰ + ɛ ɔ d i ɛ + ə
kāoewa	k ā oe w a	k aː u w a
kiŏha	k i ŏ h a	k i ɔ h a
oeabaōdie	oe a b a ō d ie	u a b a oː d i
moko èodie	m o k o + è o d ie	m ɔ k ɔ + ɛ ɔ d i
kīhemanĕ	k ī h e m a n ĕ	k iː h e m a n ə
noki èodie	n o k i + è o d ie	n ɔ k i + ɛ ɔ d i
èodihŏkoei	è o d i h ŏ k oe i	ɛ ɔ d i ç ɔ k u i
abaoea ija ŏnijāk	a b a oe a + i j a + ŏ n i j ā k	a b a u a + i j a + ɔ n i j aː k
oeahauboepèĕ	oe a h a u b oe p è ĕ	u a h a u b u p ɛ ə
oeakau băriak	oe a k a u + b ă r i a k	u a k a u + b ᾰ r i a k
fèfèja(k)ĕ	f è f è j a (k) ĕ	f ɛ f ɛ j a ʔ ə
èèhandie	èè h a n d ie	ɛː h a n d i
fahèriè	f a h è r i è	f a h ɛ r i ɛ
koekèdia(k)	k oe k è d i a (k)	k u k ɛ d i a ʔ
koekèdia(k)	k oe k è d i a (k)	k u k ɛ d i a ʔ
katian	k a t i a n	k a t i a n
èoenèkè katian	è oe n è k è + k a t i a n	ɛ u n ɛ k ɛ + k a t i a n
kabakau	k a b a k a u	k a b a k a u
èŏkŏĕ	è ŏ k ŏ ĕ	ɛ ɔ k ɔ ə
èfakoe	è f a k oe	ɛ f a k u
kafal	k a f a l	k a f a l
kapal	k a p a l	k a p a l
prahoe ŏbie obie	p r a h oe + ŏ b ie + o b ie	p r a h u + ɔ b i + ɔ b i
scotjie	s c o tj ie	s k ɔ t͡ʃ i
kanĕhak	k a n ĕ h a k	k a n ə h a k
èoeba	è oe b a	ɛ u b a
èloha	è l o h a	ɛ l ɔ h a
pakoehè	p a k oe h è	p a k u h ɛ
moenènè	m oe n è n è	m u n ɛ n ɛ
paoepă	p a oe p ă	p a u p ᾰ
ijo	i j o	i j ɔ
èŏdjie	è ŏ dj ie	ɛ ɔ d͡ʒ i
èoi	è o i	ɛ ɔ i
abaoi	a b a o i	a b a ɔ i
bakaŏedjie	b a k a ŏ e dj ie	b a k a ɔ e d͡ʒ i
èhaŏdjie	è h a ŏ dj ie	ɛ h a ɔ d͡ʒ i
èfakoe	è f a k oe	ɛ f a k u
èhèkoe	è h è k oe	ɛ h ɛ k u
kikèĕ	k i k è ĕ	k i k ɛ ə
amoehŏ	a m oe h ŏ	a m u h ɔ
adèījĕ	a d è ī j ĕ	a d ɛ iː j ə
kakoeka	k a k oe k a	k a k u k a
nŏkie	n ŏ k ie	n ɔ k i
aījŏnoe(k)oe	a ī j ŏ n oe (k) oe	a iː j ɔ n u ʔ u
dĕbŏdŏ	d ĕ b ŏ d ŏ	d ə b ɔ d ɔ
boe ōdĕ	b oe + ō d ĕ	b u + oː d ə
kanefoe	k a n e f oe	k a n e f u
kakoeĕ	k a k oe ĕ	k a k u ə
keàbabŏdŏ	k e à b a b ŏ d ŏ	k e a b a b ɔ d ɔ
amoehŏ	a m oe h ŏ	a m u h ɔ
kaaanwĕ	k aaa n w ĕ	k aː n w ə
èafa(k)	è a f a (k)	ɛ a f a ʔ
kiĕ	k i ĕ	k i ə
kiĕ	k i ĕ	k i ə
kanànè	k a n à n è	k a n a n ɛ
kima(k)	k i m a (k)	k i m a ʔ
kimak	k i m a k	k i m a k
èo	è o	ɛ ɔ
kahèkanie	k a h è k a n ie	k a h ɛ k a n i
nioekienio(k)	n i oe k ie n i o (k)	n i u k i n i ɔ ʔ
aīĕjanoe(k)	a ī ĕ j a n oe (k)	a iː ə j a n u ʔ
èno(k)	è n o (k)	ɛ n ɔ ʔ
kafèfè	k a f è f è	k a f ɛ f ɛ
kaaukie	k aa u k ie	k aː u k i
janoe(k)	j a n oe (k)	j a n u ʔ
èno(k)	è n o (k)	ɛ n ɔ ʔ
kanèfoe	k a n è f oe	k a n ɛ f u
kakoeōk	k a k oe ō k	k a k u oː k
noekinoe(k)	n oe k i n oe (k)	n u k i n u ʔ
manèko	m a n è k o	m a n ɛ k ɔ
kājŏ	k ā j ŏ	k aː j ɔ
kaèo	k a è o	k a ɛ ɔ
kadarao	k a d a r a o	k a d a r a ɔ
kāhao	k ā h a o	k aː h a ɔ
pākārah	p ā k ā r a h	p aː k aː r a h
pafèè	p a f èè	p a f ɛː
èădŏ	è ă d ŏ	ɛ ᾰ d ɔ
kahaoe(k)	k a h a oe (k)	k a h a u ʔ
èo(k)	è o (k)	ɛ ɔ ʔ
kajojo	k a j o j o	k a j ɔ j ɔ
kalèla	k a l è l a	k a l ɛ l a
kohorijo	k o h o r i j o	k ɔ h ɔ r i j ɔ
kaīdahandĕ	k a ī d a h a n d ĕ	k a iː d a h a n d ə
èèho	èè h o	ɛː h ɔ
kaäfoeā	k aä f oe ā	k a ʔ a f u aː
kaboeĕboeĕ	k a b oe ĕ b oe ĕ	k a b u ə b u ə
kadiŏfè	k a d i ŏ f è	k a d i ɔ f ɛ
aijĕfoho	a i j ĕ f o h o	a i j ə f ɔ h ɔ
kikoeoekă	k i k oe oe k ă	k i k u u k ᾰ
kimoemoehĕ	k i m oe m oe h ĕ	k i m u m u h ə
kikoeoekă	k i k oe oe k ă	k i k u u k ᾰ
kimoemoehĕ	k i m oe m oe h ĕ	k i m u m u h ə
kidīdēhŏ(k)	k i d ī d ē h ŏ (k)	k i d iː d eː h ɔ ʔ
èo(k)o(k)	è o (k) o (k)	ɛ ɔ ʔ ɔ ʔ
kalèlă	k a l è l ă	k a l ɛ l ᾰ
kaäkihi	k aä k i h i	k a ʔ a k i ç i
makiha(k)	m a k i h a (k)	m a k i ç a ʔ
kamoko	k a m o k o	k a m ɔ k ɔ
kidebo	k i d e b o	k i d e b ɔ
kaoewe	k a oe w e	k a u w e
koina	k o i n a	k ɔ i n a
èieboe	è ie b oe	ɛ i b u
kiŏhā	k i ŏ h ā	k i ɔ h aː
kāoewa	k ā oe w a	k aː u w a
kiŏhā	k i ŏ h ā	k i ɔ h aː
karahèlă	k a r a h è l ă	k a r a h ɛ l ᾰ
hokeora(k) ahèlĕ	h o k e o r a (k) + a h è l ĕ	h ɔ k e ɔ r a ʔ + a h ɛ l ə
kifame	k i f a m e	k i f a m e
eò(k)o(k)	e ò (k) o (k)	e ɔ ʔ ɔ ʔ
pamiere	p a m ie r e	p a m i r e
fakaafie	f a k aa f ie	f a k aː f i
koinŏnā	k o i n ŏ n ā	k ɔ i n ɔ n aː
kĕmoja(k)	k ĕ m o j a (k)	k ə m ɔ j a ʔ
kifèora(k)	k i f è o r a (k)	k i f ɛ ɔ r a ʔ
kifienè	k i f ie n è	k i f i n ɛ
èaak	è aa k	ɛ aː k
koeōdĕ	k oe ō d ĕ	k u oː d ə
manŏniejŏ	m a n ŏ n ie j ŏ	m a n ɔ n i j ɔ
pananamie	p a n a n a m ie	p a n a n a m i
kamoenīno	k a m oe n ī n o	k a m u n iː n ɔ
nŏoninĕ	n ŏ o n i n ĕ	n ɔ ɔ n i n ə
pōbōdā	p ō b ō d ā	p oː b oː d aː
fidjaja	f i dj a j a	f i d͡ʒ a j a
koedŏdŏ	k oe d ŏ d ŏ	k u d ɔ d ɔ
kipara èbahoe	k i p a r a + è b a h oe	k i p a r a + ɛ b a h u
kifĕhaja	k i f ĕ h a j a	k i f ə h a j a
kaboehaja	k a b oe h a j a	k a b u h a j a
kifoi	k i f o i	k i f ɔ i
kimonie	k i m o n ie	k i m ɔ n i
kafai	k a f a i	k a f a i
kaarahĕai	k aa r a h ĕ a i	k aː r a h ə a i
kāākikieĕ	k āā k i k ie ĕ	k aː k i k i ə
kaoewè oewè	k a oe w è + oe w è	k a u w ɛ + u w ɛ
kahieābie	k a h ie ā b ie	k a h i aː b i
kaŏrārie	k a ŏ r ā r ie	k a ɔ r aː r i
kaoerejĕ	k a oe r e j ĕ	k a u r e j ə
kaākŏhŏ	k aā k ŏ h ŏ	k aː k ɔ h ɔ
kahièhiè	k a h i è h i è	k a h i ɛ h i ɛ
kaiekŏkŏ(k)	k a ie k ŏ k ŏ (k)	k a i k ɔ k ɔ ʔ
kabŏ èlā	k a b ŏ + è l ā	k a b ɔ + ɛ l aː
ka iekŏkŏ(k)	k a + ie k ŏ k ŏ (k)	k a + i k ɔ k ɔ ʔ
kakidahaiĕ	k a k i d a h a i ĕ	k a k i d a h a i ə
kakīnīfĕ	k a k ī n ī f ĕ	k a k iː n iː f ə
kakīnīfĕ	k a k ī n ī f ĕ	k a k iː n iː f ə
kanoenoefè	k a n oe n oe f è	k a n u n u f ɛ
noenoe(k)	n oe n oe (k)	n u n u ʔ
abĕĕ adi	a b ĕĕ + a d i	a b əː + a d i
oewabālā	oe w a b ā l ā	u w a b aː l aː
wāhāboepè	w ā h ā b oe p è	w aː h aː b u p ɛ
pènjok	p è nj o k	p ɛ ɲ ɔ k
amĕna(k)	a m ĕ n a (k)	a m ə n a ʔ
akida(k)	a k i d a (k)	a k i d a ʔ
oewakaki	oe w a k a k i	u w a k a k i
kidak	k i d a k	k i d a k
oewa āpoe hāja(k)	oe w a + ā p oe + h ā j a (k)	u w a + aː p u + h aː j a ʔ
kaboehaja(k)	k a b oe h a j a (k)	k a b u h a j a ʔ
pōhōja(k)	p ō h ō j a (k)	p oː h oː j a ʔ
kidĕhaoe	k i d ĕ h a oe	k i d ə h a u
oemahaoe	oe m a h a oe	u m a h a u
pakanoea(k)	p a k a n oe a (k)	p a k a n u a ʔ
bakida(k)	b a k i d a (k)	b a k i d a ʔ
kikaaboe	k i k aa b oe	k i k aː b u
adŏ kahapa(k)	a d ŏ + k a h a p a (k)	a d ɔ + k a h a p a ʔ
kiakahārie	k i a k a h ā r ie	k i a k a h aː r i
koinak	k o i n a k	k ɔ i n a k
kajenŏnŏ	k a j e n ŏ n ŏ	k a j e n ɔ n ɔ
ijanŏnŏ	i j a n ŏ n ŏ	i j a n ɔ n ɔ
ahabèlo	a h a b è l o	a h a b ɛ l ɔ
balelo	b a l e l o	b a l e l ɔ
pānāoe	p ā n ā oe	p aː n aː u
bahèdji	b a h è dj i	b a h ɛ d͡ʒ i
pĕkoeaba	p ĕ k oe a b a	p ə k u a b a
waka	w a k a	w a k a
èdjie	è dj ie	ɛ d͡ʒ i
èhèboe	è h è b oe	ɛ h ɛ b u
èhèlo	è h è l o	ɛ h ɛ l ɔ
èhŏra	è h ŏ r a	ɛ h ɔ r a
aharie	a h a r ie	a h a r i
kīfoehaj	k ī f oe h a j	k iː f u h a j
anoaha(k)	a n o a h a (k)	a n ɔ a h a ʔ
kehafariek	k e h a f a r ie k	k e h a f a r i k
kolè amie amie	k o l è + a m ie + a m ie	k ɔ l ɛ + a m i + a m i
kolè poeha	k o l è + p oe h a	k ɔ l ɛ + p u h a
dŏdŏ	d ŏ d ŏ	d ɔ d ɔ
oefā	oe f ā	u f aː
kiŏfaj	k i ŏ f a j	k i ɔ f a j
oefā	oe f ā	u f aː
wakahadŏ	w a k a h a d ŏ	w a k a h a d ɔ
ŏmŏ	ŏ m ŏ	ɔ m ɔ
ŏmŏkie	ŏ m ŏ k ie	ɔ m ɔ k i
kèaba baoeŏ	k è a b a + b a oe ŏ	k ɛ a b a + b a u ɔ
pamŏ	p a m ŏ	p a m ɔ
oepamŏ	oe p a m ŏ	u p a m ɔ
kahapie	k a h a p ie	k a h a p i
mahapie	m a h a p ie	m a h a p i
kidai(k)joe	k i d a i (k) j oe	k i d a i ʔ j u
abaoè	a b a o è	a b a ɔ ɛ
mèhèbahoe(k)	m è h è b a h oe (k)	m ɛ h ɛ b a h u ʔ
èaaniā	è aa n i ā	ɛ aː n i aː
kàhafie	k à h a f ie	k a h a f i
poekai	p oe k a i	p u k a i
koie	k o ie	k ɔ i
kaoe	k a oe	k a u
kiā hoeŏ	k i ā + h oe ŏ	k i aː + h u ɔ
abaanbŏ	a b aa n b ŏ	a b aː n b ɔ
kihèkok	k i h è k o k	k i ç ɛ k ɔ k
kihanĕ	k i h a n ĕ	k i ç a n ə
kahankĕ	k a h a n k ĕ	k a h a n k ə
oea ka baikoā	oe a + k a + b a i k o ā	u a + k a + b a i k ɔ aː
kikĕrā	k i k ĕ r ā	k i k ə r aː
kafikĕ	k a f i k ĕ	k a f i k ə
pèladieĕ	p è l a d ie ĕ	p ɛ l a d i ə
kifĕhbai	k i f ĕ h b a i	k i f ə h b a i
aboehŏ	a b oe h ŏ	a b u h ɔ
hōda hōda	h ō d a + h ō d a	h oː d a + h oː d a
ami(k)ī(k)	a m i (k) ī (k)	a m i ʔ iː ʔ
afamī(k)	a f a m ī (k)	a f a m iː ʔ
pienoekak	p ie n oe k a k	p i n u k a k
fakieoe	f a k ie oe	f a k i u
pakoeoe	p a k oe oe	p a k u u
karohajĕ	k a r o h a j ĕ	k a r ɔ h a j ə
pakè èbŏ	p a k è + è b ŏ	p a k ɛ + ɛ b ɔ
noenoehoei	n oe n oe h oe i	n u n u h u i
paharie	p a h a r ie	p a h a r i
aharie	a h a r ie	a h a r i
aboepèiejok	a b oe p è ie j o k	a b u p ɛ i j ɔ k
pakèho	p a k è h o	p a k ɛ h ɔ
kieakīenènihai	k ie a k ī e n è n i h a i	k i a k iː e n ɛ n i ç a i
