originals	tokenized	transliterated
bèo	b è o	b E O
mèo	m è o	m E O
èara bèo	è a r a + b è o	E a r a + b E O
èaidiă	è a i d i ă	E a i d i ă
hŏkai	h ŏ k a i	h O k a i
ija(k)è	i j a (k) è	i y a ' E
kauāpŏ	k a u ā p ŏ	k a u a a p O
kanoeoenoe	k a n oe oe n oe	k a n u u n u
kauāpŏ	k a u ā p ŏ	k a u a a p O
kanoeoenoe	k a n oe oe n oe	k a n u u n u
èfa èfa	è f a + è f a	E f a + E f a
poeroeroei	p oe r oe r oe i	p u r u r u i
èoefĕdieĕ	è oe f ĕ d ie ĕ	E u f ė d i ė
èfōdiĕ	è f ō d i ĕ	E f o o d i ė
èara	è a r a	E a r a
èŏbŏ	è ŏ b ŏ	E O b O
èkŏjŏ(k)	è k ŏ j ŏ (k)	E k O y O '
ărŏmaka	ă r ŏ m a k a	ă r O m a k a
kikèŏfa	k i k è ŏ f a	k i k E O f a
kambing	k a m b i ng	k a m b i n g
bèo	b è o	b E O
pakoeĕ(k) bèo	p a k oe ĕ (k) + b è o	p a k u ė ' + b E O
bèo	b è o	b E O
ejau	e j a u	e y a u
kèèfè	k èè f è	k è è f E
èkŏkŏ	è k ŏ k ŏ	E k O k O
kèèfè	k èè f è	k è è f E
èoekaikŏ	è oe k a i k ŏ	E u k a i k O
èāhā	è ā h ā	E a a h a a
akōma(k)	a k ō m a (k)	a k o o m a '
poeroehoei	p oe r oe h oe i	p u r u h u i
kèèfa	k èè f a	k è è f a
kadĕbĕ(k)	k a d ĕ b ĕ (k)	k a d ė b ė '
èhoenie	è h oe n ie	E h u n i
hoànie	h o à n ie	h O a n i
èhoewā	è h oe w ā	E h u w a a
èpèhĕja	è p è h ĕ j a	E p E h ė y a
kĕwānoe	k ĕ w ā n oe	k ė w a a n u
èhoewā	è h oe w ā	E h u w a a
èpèhĕja	è p è h ĕ j a	E p E h ė y a
kĕwānoe	k ĕ w ā n oe	k ė w a a n u
djalŏ	dj a l ŏ	j a l O
djalŏ	dj a l ŏ	j a l O
djalŏ	dj a l ŏ	j a l O
èhèo	è h è o	E h E O
èkama	è k a m a	E k a m a
èhikoe	è h i k oe	E h i k u
eàboedŏdŏ	e à b oe d ŏ d ŏ	e a b u d O d O
èmiekieĕ	è m ie k ie ĕ	E m i k i ė
èhikoe bèo	è h i k oe + b è o	E h i k u + b E O
poekĕha	p oe k ĕ h a	p u k ė h a
eòemŏ	e ò e m ŏ	e O e m O
kiija	k ii j a	k i i y a
kiija	k ii j a	k i i y a
kiija	k ii j a	k i i y a
èfŏŏfa	è f ŏŏ f a	E f O O f a
kŏfènè	k ŏ f è n è	k O f E n E
èkiafŏ	è k i a f ŏ	E k i a f O
èkihŏ	è k i h ŏ	E k i x O
èkihŏ	è k i h ŏ	E k i x O
èkihŏ	è k i h ŏ	E k i x O
èkihŏ	è k i h ŏ	E k i x O
èanōà	è a n ō à	E a n o o a
èanōà	è a n ō à	E a n o o a
èanōà	è a n ō à	E a n o o a
èhŏdŏ(k)	è h ŏ d ŏ (k)	E h O d O '
paèkā	p a è k ā	p a E k a a
kahaŏdji	k a h a ŏ dj i	k a h a O j i
èkīkè(k)è	è k ī k è (k) è	E k i i k E ' E
èkīkè(k)è	è k ī k è (k) è	E k i i k E ' E
èkīkè(k)è	è k ī k è (k) è	E k i i k E ' E
èfèŏ(k)	è f è ŏ (k)	E f E O '
lahŏfo	l a h ŏ f o	l a h O f O
kahoewe(k)	k a h oe w e (k)	k a h u w e '
lahiejŏ	l a h ie j ŏ	l a h i y O
nafoeĕ	n a f oe ĕ	n a f u ė
èoefoe	è oe f oe	E u f u
kahŏka	k a h ŏ k a	k a h O k a
èoenoe oenoe	è oe n oe + oe n oe	E u n u + u n u
kabieĕ	k a b ie ĕ	k a b i ė
èalahoe	è a l a h oe	E a l a h u
èbaka kahaŏ(k)	è b a k a + k a h a ŏ (k)	E b a k a + k a h a O '
ekanooe	e k a n o oe	e k a n O u
kaho kanoehā(k)	k a h o + k a n oe h ā (k)	k a h O + k a n u h a a '
apoj lŏfŏ	a p o j + l ŏ f ŏ	a p O y + l O f O
eafi-doewa	e a f i - d oe w a	e a f i - d u w a
kamīmī	k a m ī m ī	k a m i i m i i
èlŏpŏ	è l ŏ p ŏ	E l O p O
kalinaha(k)	k a l i n a h a (k)	k a l i n a h a '
èbo	è b o	E b O
poeāri poeāri	p oe ā r i + p oe ā r i	p u a a r i + p u a a r i
kaèlahoe	k a è l a h oe	k a E l a h u
èalahoe	è a l a h oe	E a l a h u
èdoedie	è d oe d ie	E d u d i
èalahoe	è a l a h oe	E a l a h u
pakoeda	p a k oe d a	p a k u d a
èĕkapakoeda	è ĕ k a p a k oe d a	E ė k a p a k u d a
èdih	è d i h	E d i x
èkijoe	è k i j oe	E k i y u
lakŏha(k)	l a k ŏ h a (k)	l a k O h a '
èkijoe	è k i j oe	E k i y u
lakŏha(k)	l a k ŏ h a (k)	l a k O h a '
èbŏ	è b ŏ	E b O
èoewè	è oe w è	E u w E
kababaha(k)	k a b a b a h a (k)	k a b a b a h a '
aba-ŏkie oewĕ	a b a - ŏ k ie + oe w ĕ	a b a - O k i + u w ė
akŏhŏdă oewè	a k ŏ h ŏ d ă + oe w è	a k O h O d ă + u w E
nanaoewè	n a n a oe w è	n a n a u w E
kahanakiĕ	k a h a n a k i ĕ	k a h a n a k i ė
èhèkoewĕ	è h è k oe w ĕ	E h E k u w ė
ejokie	e j o k ie	e y O k i
ehadieĕ	e h a d ie ĕ	e h a d i ė
èfè	è f è	E f E
ihiā	i h i ā	i x i a a
panāoewè kèfoe	p a n ā oe w è + k è f oe	p a n a a u w E + k E f u
èbaka oewè	è b a k a + oe w è	E b a k a + u w E
èjahèla	è j a h è l a	E y a h E l a
kōāka oewè	k ō ā k a + oe w è	k o o a a k a + u w E
pakaŏ	p a k a ŏ	p a k a O
èēja	è ē j a	E e e y a
ijokie	i j o k ie	i y O k i
èlŏpŏ	è l ŏ p ŏ	E l O p O
kèfoe	k è f oe	k E f u
koeroe	k oe r oe	k u r u
koeroe	k oe r oe	k u r u
karahāhŏ	k a r a h ā h ŏ	k a r a h a a h O
èkŏhŏ	è k ŏ h ŏ	E k O h O
èkŏhoi	è k ŏ h o i	E k O h O i
èkŏhoi	è k ŏ h o i	E k O h O i
kiedarāk	k ie d a r ā k	k i d a r a a k
ènafa	è n a f a	E n a f a
èŏŏbŏ	è ŏŏ b ŏ	E O O b O
èŏkoewĕ	è ŏ k oe w ĕ	E O k u w ė
èŏkoewĕ	è ŏ k oe w ĕ	E O k u w ė
èoboewĕ	è o b oe w ĕ	E O b u w ė
èèkŏwĕ	èè k ŏ w ĕ	è è k O w ė
panaŏ	p a n a ŏ	p a n a O
aka fidja	a k a + f i dj a	a k a + f i j a
aka fidja	a k a + f i dj a	a k a + f i j a
aka fidja	a k a + f i dj a	a k a + f i j a
aka fidja	a k a + f i dj a	a k a + f i j a
èbakĕbo	è b a k ĕ b o	E b a k ė b O
èdŏdie	è d ŏ d ie	E d O d i
èèja(k)	èè j a (k)	è è y a '
èloffo	è l o ff o	E l O f f O
èoehoe	è oe h oe	E u h u
haoehaoe	h a oe h a oe	h a u h a u
èau	è a u	E a u
pakamaè	p a k a m a è	p a k a m a E
kalèlèak	k a l è l è a k	k a l E l E a k
bidji-bidji kahieabie	b i dj i - b i dj i + k a h ie a b ie	b i j i - b i j i + k a h i a b i
kalèlèha	k a l è l è h a	k a l E l E h a
kalèlèha	k a l è l è h a	k a l E l E h a
doehoekiee	d oe h oe k ie e	d u h u k i e
ebaka oemo	e b a k a + oe m o	e b a k a + u m O
kiaki-fèoeĕ	k i a k i - f è oe ĕ	k i a k i - f E u ė
părīk kaoewĕ	p ă r ī k + k a oe w ĕ	p ă r i i k + k a u w ė
ānāoe	ā n ā oe	a a n a a u
koedŏdok	k oe d ŏ d o k	k u d O d O k
èhaka bapieĕ	è h a k a + b a p ie ĕ	E h a k a + b a p i ė
èkaka kabājĕoi	è k a k a + k a b ā j ĕ o i	E k a k a + k a b a a y ė O i
ijabakoewā	i j a b a k oe w ā	i y a b a k u w a a
kahĕdiak baēdiăk	k a h ĕ d i a k + b a ē d i ă k	k a h ė d i a k + b a e e d i ă k
dŏboekabandiăk	d ŏ b oe k a b a n d i ă k	d O b u k a b a n d i ă k
afikă èodiè ĕ	a f i k ă + è o d i è + ĕ	a f i k ă + E O d i E + ė
kāoewa	k ā oe w a	k a a u w a
kiŏha	k i ŏ h a	k i O h a
oeabaōdie	oe a b a ō d ie	u a b a o o d i
moko èodie	m o k o + è o d ie	m O k O + E O d i
kīhemanĕ	k ī h e m a n ĕ	k i i h e m a n ė
noki èodie	n o k i + è o d ie	n O k i + E O d i
èodihŏkoei	è o d i h ŏ k oe i	E O d i x O k u i
abaoea ija ŏnijāk	a b a oe a + i j a + ŏ n i j ā k	a b a u a + i y a + O n i y a a k
oeahauboepèĕ	oe a h a u b oe p è ĕ	u a h a u b u p E ė
oeakau băriak	oe a k a u + b ă r i a k	u a k a u + b ă r i a k
fèfèja(k)ĕ	f è f è j a (k) ĕ	f E f E y a ' ė
èèhandie	èè h a n d ie	è è h a n d i
fahèriè	f a h è r i è	f a h E r i E
koekèdia(k)	k oe k è d i a (k)	k u k E d i a '
koekèdia(k)	k oe k è d i a (k)	k u k E d i a '
katian	k a t i a n	k a t i a n
èoenèkè katian	è oe n è k è + k a t i a n	E u n E k E + k a t i a n
kabakau	k a b a k a u	k a b a k a u
èŏkŏĕ	è ŏ k ŏ ĕ	E O k O ė
èfakoe	è f a k oe	E f a k u
kafal	k a f a l	k a f a l
kapal	k a p a l	k a p a l
prahoe ŏbie obie	p r a h oe + ŏ b ie + o b ie	p r a h u + O b i + O b i
scotjie	s c o tj ie	s k O c i
kanĕhak	k a n ĕ h a k	k a n ė h a k
èoeba	è oe b a	E u b a
èloha	è l o h a	E l O h a
pakoehè	p a k oe h è	p a k u h E
moenènè	m oe n è n è	m u n E n E
paoepă	p a oe p ă	p a u p ă
ijo	i j o	i y O
èŏdjie	è ŏ dj ie	E O j i
èoi	è o i	E O i
abaoi	a b a o i	a b a O i
bakaŏedjie	b a k a ŏ e dj ie	b a k a O e j i
èhaŏdjie	è h a ŏ dj ie	E h a O j i
èfakoe	è f a k oe	E f a k u
èhèkoe	è h è k oe	E h E k u
kikèĕ	k i k è ĕ	k i k E ė
amoehŏ	a m oe h ŏ	a m u h O
adèījĕ	a d è ī j ĕ	a d E i i y ė
kakoeka	k a k oe k a	k a k u k a
nŏkie	n ŏ k ie	n O k i
aījŏnoe(k)oe	a ī j ŏ n oe (k) oe	a i i y O n u ' u
dĕbŏdŏ	d ĕ b ŏ d ŏ	d ė b O d O
boe ōdĕ	b oe + ō d ĕ	b u + o o d ė
kanefoe	k a n e f oe	k a n e f u
kakoeĕ	k a k oe ĕ	k a k u ė
keàbabŏdŏ	k e à b a b ŏ d ŏ	k e a b a b O d O
amoehŏ	a m oe h ŏ	a m u h O
kaaanwĕ	k aaa n w ĕ	k a a a n w ė
èafa(k)	è a f a (k)	E a f a '
kiĕ	k i ĕ	k i ė
kiĕ	k i ĕ	k i ė
kanànè	k a n à n è	k a n a n E
kima(k)	k i m a (k)	k i m a '
kimak	k i m a k	k i m a k
èo	è o	E O
kahèkanie	k a h è k a n ie	k a h E k a n i
nioekienio(k)	n i oe k ie n i o (k)	n i u k i n i O '
aīĕjanoe(k)	a ī ĕ j a n oe (k)	a i i ė y a n u '
èno(k)	è n o (k)	E n O '
kafèfè	k a f è f è	k a f E f E
kaaukie	k aa u k ie	k a a u k i
janoe(k)	j a n oe (k)	y a n u '
èno(k)	è n o (k)	E n O '
kanèfoe	k a n è f oe	k a n E f u
kakoeōk	k a k oe ō k	k a k u o o k
noekinoe(k)	n oe k i n oe (k)	n u k i n u '
manèko	m a n è k o	m a n E k O
kājŏ	k ā j ŏ	k a a y O
kaèo	k a è o	k a E O
kadarao	k a d a r a o	k a d a r a O
kāhao	k ā h a o	k a a h a O
pākārah	p ā k ā r a h	p a a k a a r a h
pafèè	p a f èè	p a f è è
èădŏ	è ă d ŏ	E ă d O
kahaoe(k)	k a h a oe (k)	k a h a u '
èo(k)	è o (k)	E O '
kajojo	k a j o j o	k a y O y O
kalèla	k a l è l a	k a l E l a
kohorijo	k o h o r i j o	k O h O r i y O
kaīdahandĕ	k a ī d a h a n d ĕ	k a i i d a h a n d ė
èèho	èè h o	è è h O
kaäfoeā	k aä f oe ā	k a ' a f u a a
kaboeĕboeĕ	k a b oe ĕ b oe ĕ	k a b u ė b u ė
kadiŏfè	k a d i ŏ f è	k a d i O f E
aijĕfoho	a i j ĕ f o h o	a i y ė f O h O
kikoeoekă	k i k oe oe k ă	k i k u u k ă
kimoemoehĕ	k i m oe m oe h ĕ	k i m u m u h ė
kikoeoekă	k i k oe oe k ă	k i k u u k ă
kimoemoehĕ	k i m oe m oe h ĕ	k i m u m u h ė
kidīdēhŏ(k)	k i d ī d ē h ŏ (k)	k i d i i d e e h O '
èo(k)o(k)	è o (k) o (k)	E O ' O '
kalèlă	k a l è l ă	k a l E l ă
kaäkihi	k aä k i h i	k a ' a k i x i
makiha(k)	m a k i h a (k)	m a k i x a '
kamoko	k a m o k o	k a m O k O
kidebo	k i d e b o	k i d e b O
kaoewe	k a oe w e	k a u w e
koina	k o i n a	k O i n a
èieboe	è ie b oe	E i b u
kiŏhā	k i ŏ h ā	k i O h a a
kāoewa	k ā oe w a	k a a u w a
kiŏhā	k i ŏ h ā	k i O h a a
karahèlă	k a r a h è l ă	k a r a h E l ă
hokeora(k) ahèlĕ	h o k e o r a (k) + a h è l ĕ	h O k e O r a ' + a h E l ė
kifame	k i f a m e	k i f a m e
eò(k)o(k)	e ò (k) o (k)	e O ' O '
pamiere	p a m ie r e	p a m i r e
fakaafie	f a k aa f ie	f a k a a f i
koinŏnā	k o i n ŏ n ā	k O i n O n a a
kĕmoja(k)	k ĕ m o j a (k)	k ė m O y a '
kifèora(k)	k i f è o r a (k)	k i f E O r a '
kifienè	k i f ie n è	k i f i n E
èaak	è aa k	E a a k
koeōdĕ	k oe ō d ĕ	k u o o d ė
manŏniejŏ	m a n ŏ n ie j ŏ	m a n O n i y O
pananamie	p a n a n a m ie	p a n a n a m i
kamoenīno	k a m oe n ī n o	k a m u n i i n O
nŏoninĕ	n ŏ o n i n ĕ	n O O n i n ė
pōbōdā	p ō b ō d ā	p o o b o o d a a
fidjaja	f i dj a j a	f i j a y a
koedŏdŏ	k oe d ŏ d ŏ	k u d O d O
kipara èbahoe	k i p a r a + è b a h oe	k i p a r a + E b a h u
kifĕhaja	k i f ĕ h a j a	k i f ė h a y a
kaboehaja	k a b oe h a j a	k a b u h a y a
kifoi	k i f o i	k i f O i
kimonie	k i m o n ie	k i m O n i
kafai	k a f a i	k a f a i
kaarahĕai	k aa r a h ĕ a i	k a a r a h ė a i
kāākikieĕ	k āā k i k ie ĕ	k a a k i k i ė
kaoewè oewè	k a oe w è + oe w è	k a u w E + u w E
kahieābie	k a h ie ā b ie	k a h i a a b i
kaŏrārie	k a ŏ r ā r ie	k a O r a a r i
kaoerejĕ	k a oe r e j ĕ	k a u r e y ė
kaākŏhŏ	k aā k ŏ h ŏ	k a a k O h O
kahièhiè	k a h i è h i è	k a h i E h i E
kaiekŏkŏ(k)	k a ie k ŏ k ŏ (k)	k a i k O k O '
kabŏ èlā	k a b ŏ + è l ā	k a b O + E l a a
ka iekŏkŏ(k)	k a + ie k ŏ k ŏ (k)	k a + i k O k O '
kakidahaiĕ	k a k i d a h a i ĕ	k a k i d a h a i ė
kakīnīfĕ	k a k ī n ī f ĕ	k a k i i n i i f ė
kakīnīfĕ	k a k ī n ī f ĕ	k a k i i n i i f ė
kanoenoefè	k a n oe n oe f è	k a n u n u f E
noenoe(k)	n oe n oe (k)	n u n u '
abĕĕ adi	a b ĕĕ + a d i	a b ė ė + a d i
oewabālā	oe w a b ā l ā	u w a b a a l a a
wāhāboepè	w ā h ā b oe p è	w a a h a a b u p E
pènjok	p è nj o k	p E ñ O k
amĕna(k)	a m ĕ n a (k)	a m ė n a '
akida(k)	a k i d a (k)	a k i d a '
oewakaki	oe w a k a k i	u w a k a k i
kidak	k i d a k	k i d a k
oewa āpoe hāja(k)	oe w a + ā p oe + h ā j a (k)	u w a + a a p u + h a a y a '
kaboehaja(k)	k a b oe h a j a (k)	k a b u h a y a '
pōhōja(k)	p ō h ō j a (k)	p o o h o o y a '
kidĕhaoe	k i d ĕ h a oe	k i d ė h a u
oemahaoe	oe m a h a oe	u m a h a u
pakanoea(k)	p a k a n oe a (k)	p a k a n u a '
bakida(k)	b a k i d a (k)	b a k i d a '
kikaaboe	k i k aa b oe	k i k a a b u
adŏ kahapa(k)	a d ŏ + k a h a p a (k)	a d O + k a h a p a '
kiakahārie	k i a k a h ā r ie	k i a k a h a a r i
koinak	k o i n a k	k O i n a k
kajenŏnŏ	k a j e n ŏ n ŏ	k a y e n O n O
ijanŏnŏ	i j a n ŏ n ŏ	i y a n O n O
ahabèlo	a h a b è l o	a h a b E l O
balelo	b a l e l o	b a l e l O
pānāoe	p ā n ā oe	p a a n a a u
bahèdji	b a h è dj i	b a h E j i
pĕkoeaba	p ĕ k oe a b a	p ė k u a b a
waka	w a k a	w a k a
èdjie	è dj ie	E j i
èhèboe	è h è b oe	E h E b u
èhèlo	è h è l o	E h E l O
èhŏra	è h ŏ r a	E h O r a
aharie	a h a r ie	a h a r i
kīfoehaj	k ī f oe h a j	k i i f u h a y
anoaha(k)	a n o a h a (k)	a n O a h a '
kehafariek	k e h a f a r ie k	k e h a f a r i k
kolè amie amie	k o l è + a m ie + a m ie	k O l E + a m i + a m i
kolè poeha	k o l è + p oe h a	k O l E + p u h a
dŏdŏ	d ŏ d ŏ	d O d O
oefā	oe f ā	u f a a
kiŏfaj	k i ŏ f a j	k i O f a y
oefā	oe f ā	u f a a
wakahadŏ	w a k a h a d ŏ	w a k a h a d O
ŏmŏ	ŏ m ŏ	O m O
ŏmŏkie	ŏ m ŏ k ie	O m O k i
kèaba baoeŏ	k è a b a + b a oe ŏ	k E a b a + b a u O
pamŏ	p a m ŏ	p a m O
oepamŏ	oe p a m ŏ	u p a m O
kahapie	k a h a p ie	k a h a p i
mahapie	m a h a p ie	m a h a p i
kidai(k)joe	k i d a i (k) j oe	k i d a i ' y u
abaoè	a b a o è	a b a O E
mèhèbahoe(k)	m è h è b a h oe (k)	m E h E b a h u '
èaaniā	è aa n i ā	E a a n i a a
kàhafie	k à h a f ie	k a h a f i
poekai	p oe k a i	p u k a i
koie	k o ie	k O i
kaoe	k a oe	k a u
kiā hoeŏ	k i ā + h oe ŏ	k i a a + h u O
abaanbŏ	a b aa n b ŏ	a b a a n b O
kihèkok	k i h è k o k	k i x E k O k
kihanĕ	k i h a n ĕ	k i x a n ė
kahankĕ	k a h a n k ĕ	k a h a n k ė
oea ka baikoā	oe a + k a + b a i k o ā	u a + k a + b a i k O a a
kikĕrā	k i k ĕ r ā	k i k ė r a a
kafikĕ	k a f i k ĕ	k a f i k ė
pèladieĕ	p è l a d ie ĕ	p E l a d i ė
kifĕhbai	k i f ĕ h b a i	k i f ė h b a i
aboehŏ	a b oe h ŏ	a b u h O
hōda hōda	h ō d a + h ō d a	h o o d a + h o o d a
ami(k)ī(k)	a m i (k) ī (k)	a m i ' i i '
afamī(k)	a f a m ī (k)	a f a m i i '
pienoekak	p ie n oe k a k	p i n u k a k
fakieoe	f a k ie oe	f a k i u
pakoeoe	p a k oe oe	p a k u u
karohajĕ	k a r o h a j ĕ	k a r O h a y ė
pakè èbŏ	p a k è + è b ŏ	p a k E + E b O
noenoehoei	n oe n oe h oe i	n u n u h u i
paharie	p a h a r ie	p a h a r i
aharie	a h a r ie	a h a r i
aboepèiejok	a b oe p è ie j o k	a b u p E i y O k
pakèho	p a k è h o	p a k E h O
kieakīenènihai	k ie a k ī e n è n i h a i	k i a k i i e n E n i x a i
fanènèha(k)	f a n è n è h a (k)	f a n E n E h a '
oehaibi	oe h a i b i	u h a i b i
fahabōha(k)	f a h a b ō h a (k)	f a h a b o o h a '
karahoe	k a r a h oe	k a r a h u
kakiho(k)	k a k i h o (k)	k a k i x O '
mainŏk	m a i n ŏ k	m a i n O k
homainŏk	h o m a i n ŏ k	h O m a i n O k
mŏhŏmŏ(k)	m ŏ h ŏ m ŏ (k)	m O h O m O '
hoăko(k) wa(k)	h o ă k o (k) + w a (k)	h O ă k O ' + w a '
kababa	k a b a b a	k a b a b a
èfoeaka	è f oe a k a	E f u a k a
ĕwak	ĕ w a k	ė w a k
oebidji	oe b i dj i	u b i j i
idjī	i dj ī	i j i i
èkiĕĕ	è k i ĕĕ	E k i ė ė
moeoe	m oe oe	m u u
moho(k) oekie	m o h o (k) + oe k ie	m O h O ' + u k i
kifahondie	k i f a h o n d ie	k i f a h O n d i
kaik	k a i k	k a i k
adoewĕ	a d oe w ĕ	a d u w ė
adoewa	a d oe w a	a d u w a
akoloe	a k o l oe	a k O l u
afa	a f a	a f a
aliba	a l i b a	a l i b a
aribĕ	a r i b ĕ	a r i b ė
kakinĕ	k a k i n ĕ	k a k i n ė
aki	a k i	a k i
akinĕ	a k i n ĕ	a k i n ė
ariba adoewĕ	a r i b a + a d oe w ĕ	a r i b a + a d u w ė
afai-īafā	a f a i - ī a f ā	a f a i - i i a f a a
baikaik	b a i k a i k	b a i k a i k
ibaikaik	i b a i k a i k	i b a i k a i k
kifahoek	k i f a h oe k	k i f a h u k
kāāfoeroe	k āā f oe r oe	k a a f u r u
kifahoekjo kaik	k i f a h oe k j o + k a i k	k i f a h u k y O + k a i k
kifahoekjo adoewĕ	k i f a h oe k j o + a d oe w ĕ	k i f a h u k y O + a d u w ė
kifahoekjo akoloe	k i f a h oe k j o + a k o l oe	k i f a h u k y O + a k O l u
kifahoekjo afa	k i f a h oe k j o + a f a	k i f a h u k y O + a f a
kifahoekjo alibĕ	k i f a h oe k j o + a l i b ĕ	k i f a h u k y O + a l i b ė
kifahoekjo akakinĕ	k i f a h oe k j o + a k a k i n ĕ	k i f a h u k y O + a k a k i n ė
kifahoekjo alibĕ adoewĕ	k i f a h oe k j o + a l i b ĕ + a d oe w ĕ	k i f a h u k y O + a l i b ė + a d u w ė
kifahoekjo afai afa	k i f a h oe k j o + a f a i + a f a	k i f a h u k y O + a f a i + a f a
kifahoekjo baikaik	k i f a h oe k j o + b a i k a i k	k i f a h u k y O + b a i k a i k
kaik taka	k a i k + t a k a	k a i k + t a k a
kaik takajo kaik	k a i k + t a k a j o + k a i k	k a i k + t a k a y O + k a i k
kaik takajo alibĕ	k a i k + t a k a j o + a l i b ĕ	k a i k + t a k a y O + a l i b ė
kaik takajo kifahoek	k a i k + t a k a j o + k i f a h oe k	k a i k + t a k a y O + k i f a h u k
adoewĕ taka	a d oe w ĕ + t a k a	a d u w ė + t a k a
adoewĕ takajo kifahoek	a d oe w ĕ + t a k a j o + k i f a h oe k	a d u w ė + t a k a y O + k i f a h u k
akoloe taka	a k o l oe + t a k a	a k O l u + t a k a
alibĕ taka	a l i b ĕ + t a k a	a l i b ė + t a k a
kifahoek taka	k i f a h oe k + t a k a	k i f a h u k + t a k a
kaik koedodoka	k a i k + k oe d o d o k a	k a i k + k u d O d O k a
kidahŏ	k i d a h ŏ	k i d a h O
kahakoudĕ	k a h a k o u d ĕ	k a h a k O u d ė
nŏ(k)afa	n ŏ (k) a f a	n O ' a f a
kahanoeĕ	k a h a n oe ĕ	k a h a n u ė
adoewĕ kanoeĕ	a d oe w ĕ + k a n oe ĕ	a d u w ė + k a n u ė
nè(k)è	n è (k) è	n E ' E
ija adoewĕ	i j a + a d oe w ĕ	i y a + a d u w ė
akakanoe	a k a k a n oe	a k a k a n u
hokèora(k)	h o k è o r a (k)	h O k E O r a '
afika	a f i k a	a f i k a
mŏkŏ	m ŏ k ŏ	m O k O
kīhīmanĕ	k ī h ī m a n ĕ	k i i h i i m a n ė
kèhèmanĕ	k è h è m a n ĕ	k E h E m a n ė
hiakikĕ	h i a k i k ĕ	h i a k i k ė
ma(k)aki(k)	m a (k) a k i (k)	m a ' a k i '
kihimanĕ	k i h i m a n ĕ	k i x i m a n ė
kidjĕrŏ	k i dj ĕ r ŏ	k i j ė r O
haèloedă(k)	h a è l oe d ă (k)	h a E l u d ă '
fakidja	f a k i dj a	f a k i j a
kèabak	k è a b a k	k E a b a k
èfīkahaj	è f ī k a h a j	E f i i k a h a y
oewā	oe w ā	u w a a
ŏŏ	ŏŏ	O O
ĕĕ	ĕĕ	ė ė
ĕĕ	ĕĕ	ė ė
ŏŏ	ŏŏ	O O
ĕĕ	ĕĕ	ė ė
ŏŏ	ŏŏ	O O
kija	k i j a	k i y a
oewā	oe w ā	u w a a
ikŏ	i k ŏ	i k O
kija	k i j a	k i y a
èai	è a i	E a i
èaiboe	è a i b oe	E a i b u
èaioe	è a i oe	E a i u
èaioe	è a i oe	E a i u
hŏhā	h ŏ h ā	h O h a a
hā	h ā	h a a
èijah	è i j a h	E i y a h
tiŏ	t i ŏ	t i O
èhĕ	è h ĕ	E h ė
itèk	i t è k	i t E k
itèk	i t è k	i t E k
èana	è a n a	E a n a
itèk	i t è k	i t E k
arè(k)	a r è (k)	a r E '
adè(k)	a d è (k)	a d E '
èjà(k)ā	è j à (k) ā	E y a ' a a
djidja	dj i dj a	j i j a
maumanĕ	m a u m a n ĕ	m a u m a n ė
namanihŏ	n a m a n i h ŏ	n a m a n i x O
fanihiōfi	f a n i h i ō f i	f a n i x i o o f i
kienŏhŏ	k ie n ŏ h ŏ	k i n O h O
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
haŏ(k)ha	h a ŏ (k) h a	h a O ' h a
homanika	h o m a n i k a	h O m a n i k a
janieka	j a n ie k a	y a n i k a
eaikaha(k)	e a i k a h a (k)	e a i k a h a '
koahjĕ	k o a h j ĕ	k O a h y ė
kafŏ	k a f ŏ	k a f O
ènoha	è n o h a	E n O h a
dakŏha	d a k ŏ h a	d a k O h a
nŏŏ	n ŏŏ	n O O
naafè	n aa f è	n a a f E
nŏŏ	n ŏŏ	n O O
kahanoeĕ	k a h a n oe ĕ	k a h a n u ė
pabaka	p a b a k a	p a b a k a
oeakanroe	oe a k a n r oe	u a k a n r u
baoeloe	b a oe l oe	b a u l u
aoeloe	a oe l oe	a u l u
kahanoeĕ	k a h a n oe ĕ	k a h a n u ė
hale	h a l e	h a l e
nèè	n èè	n è è
bahaibĕ	b a h a i b ĕ	b a h a i b ė
arapohĕ	a r a p o h ĕ	a r a p O h ė
kaiĕkodiĕ	k a i ĕ k o d i ĕ	k a i ė k O d i ė
nèè	n èè	n è è
naoemanĕ	n a oe m a n ĕ	n a u m a n ė
laikahadiĕ	l a i k a h a d i ĕ	l a i k a h a d i ė
mŏkŏkŏ	m ŏ k ŏ k ŏ	m O k O k O
èfāā mahiĕ	è f āā + m a h i ĕ	E f a a + m a h i ė
nakoeānā	n a k oe ā n ā	n a k u a a n a a
nāāfè	n āā f è	n a a f E
aboeha	a b oe h a	a b u h a
māāfè	m āā f è	m a a f E
kaoefè(k)	k a oe f è (k)	k a u f E '
kaoefè(k)	k a oe f è (k)	k a u f E '
